"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Erigeron canadensis",-121.17348,44.15967,"cdc,ambinst","US","PRESENT",805,"OSU","3820662019","https://oregonflora.org/collections/individual/index.php?occid=1029734","PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84",NA
"Erigeron canadensis",-96.097778,16.002778,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",100,"INECOL","1897380290",NA,"PRESERVED_SPECIMEN",2000,6,23,"2000-06-23","WGS84","184536"
"Erigeron canadensis",-97.052,49.8116,"cdc,inmano","CA","PRESENT",1000,"LPMMBH","1291636958",NA,"PRESERVED_SPECIMEN",2000,7,18,"2000-07-18","WGS84","36"
"Erigeron canadensis",-102.15194,39.32056,"cdc,ambinst","US","PRESENT",250,"COLO","2573330249","https://botanydb.colorado.edu/collections/individual/index.php?occid=107659","PRESERVED_SPECIMEN",2000,8,18,"2000-08-18","WGS84","00595462"
"Erigeron canadensis",-103.43028,38.92306,"cdc,ambinst","US","PRESENT",250,"COLO","2573330501","https://botanydb.colorado.edu/collections/individual/index.php?occid=107692","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00639096"
"Erigeron canadensis",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573329884","https://botanydb.colorado.edu/collections/individual/index.php?occid=107702","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00646315"
"Erigeron canadensis",-102.6925,38.32472,"cdc,ambinst","US","PRESENT",500,"COLO","2573330609","https://botanydb.colorado.edu/collections/individual/index.php?occid=107730","PRESERVED_SPECIMEN",2000,8,20,"2000-08-20","WGS84","00691931"
"Erigeron canadensis",-80.435788,41.104723,"cdc,colmafu,inmafu","US","PRESENT",775,"CM","2859312724","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857797","PRESERVED_SPECIMEN",2000,8,15,"2000-08-15","WGS84","CM491807"
"Erigeron canadensis",-102.35361,38.81583,"cdc,ambinst","US","PRESENT",250,"COLO","2573329660","https://botanydb.colorado.edu/collections/individual/index.php?occid=107699","PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","00646026"
"Erigeron canadensis",-104.62147,32.100811,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"UNM","1843884255","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4094356","PRESERVED_SPECIMEN",2000,10,3,"2000-10-03","WGS84","UNM0009460"
"Erigeron canadensis",-102.983,28.25,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",50,"IBUNAM","3308670269",NA,"PRESERVED_SPECIMEN",2000,10,2,"2000-10-02","WGS84","1314682"
"Erigeron canadensis",-109.263333,28.46,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895382288",NA,"PRESERVED_SPECIMEN",2000,10,30,"2000-10-30","WGS84","00182789"
"Erigeron canadensis",-121.538611,39.684722,"cdc,inmafu","US","PRESENT",805,"CDA","3059704038","https://cch2.org/portal/collections/individual/index.php?occid=4073011","PRESERVED_SPECIMEN",2000,11,4,"2000-11-04","WGS84","CDA-0021754"
"Erigeron canadensis",-117.1009,33.2252,"cdc,inmafu","US","PRESENT",805,"RSA","2430196443","https://cch2.org/portal/collections/individual/index.php?occid=1170735","PRESERVED_SPECIMEN",2000,12,NA,"2000-12","WGS84",NA
"Erigeron canadensis",-115.164099,36.122486,"cdc,inmafu","US","PRESENT",969,"MMNS","3707742774","https://sernecportal.org/portal/collections/individual/index.php?occid=11452040","PRESERVED_SPECIMEN",1999,2,10,"1999-02-10","WGS84","MMNS036074"
"Erigeron canadensis",-101.38806,21.92278,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3307954019",NA,"PRESERVED_SPECIMEN",1999,7,24,"1999-07-24","WGS84","970026"
"Erigeron canadensis",-101.451389,18.183056,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",90,"FC-UNAM","371265784",NA,"PRESERVED_SPECIMEN",1999,8,28,"1999-08-28","WGS84","68312"
"Erigeron canadensis",-101.94083,22.54361,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3307963220",NA,"PRESERVED_SPECIMEN",1999,8,27,"1999-08-27","WGS84","997667"
"Erigeron canadensis",-101.010372,38.86958,"ambcol","US","PRESENT",891,"KU","176918288",NA,"PRESERVED_SPECIMEN",1999,8,25,"1999-08-25","WGS84","325137"
"Erigeron canadensis",-104.794978,37.653953,"ambcol","US","PRESENT",272,"KU","176918300",NA,"PRESERVED_SPECIMEN",1999,8,16,"1999-08-16","WGS84","324853"
"Erigeron canadensis",-110.201,32.8529,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270586461","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=653777","PRESERVED_SPECIMEN",1999,8,19,"1999-08-19","WGS84",NA
"Erigeron canadensis",-101.436944,18.381944,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",90,"FC-UNAM","371265792",NA,"PRESERVED_SPECIMEN",1999,8,28,"1999-08-28","WGS84","68313"
"Erigeron canadensis",-106.353,35.103,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843896929","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4106565","PRESERVED_SPECIMEN",1999,9,14,"1999-09-14","WGS84","UNM0009456"
"Erigeron canadensis",-96.703889,19.539722,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"INECOL","1893802846",NA,"PRESERVED_SPECIMEN",1999,9,30,"1999-09-30","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-109.025,28.350556,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895382276",NA,"PRESERVED_SPECIMEN",1999,9,18,"1999-09-18","WGS84","00085970"
"Erigeron canadensis",-103.29583,24.13667,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",70,"IBUNAM","3307981853",NA,"PRESERVED_SPECIMEN",1999,9,29,"1999-09-29","WGS84","972693"
"Erigeron canadensis",-78.310466,35.67443,"cdc,gass84,colmafu,inmafu","US","PRESENT",200,"NCSM","2825495828","http://sernecportal.org/portal/collections/individual/index.php?occid=20437932","PRESERVED_SPECIMEN",1999,9,6,"1999-09-06","WGS84","1768"
"Erigeron canadensis",-109.048333,28.371667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895382266",NA,"PRESERVED_SPECIMEN",1999,10,4,"1999-10-04","WGS84","00085969"
"Erigeron canadensis",-100.135833,17.47,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",100,"FC-UNAM","1895729700",NA,"PRESERVED_SPECIMEN",1999,10,17,"1999-10-17","WGS84","070598"
"Erigeron canadensis",-102.363333,19.336667,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"INECOL","1893688683",NA,"PRESERVED_SPECIMEN",1998,3,12,"1998-03-12","WGS84","129017"
"Erigeron canadensis",-98.883611,21.175833,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FC-UNAM","1894705525",NA,"PRESERVED_SPECIMEN",1998,4,24,"1998-04-24","WGS84","056497"
"Erigeron canadensis",-92.58872,18.54197,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3308573604",NA,"PRESERVED_SPECIMEN",1998,6,25,"1998-06-25","WGS84","1046871"
"Erigeron canadensis",-90.045175,48.042481,"cdc,ambcol","US","PRESENT",800,"MIN","2265436333","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=180587","PRESERVED_SPECIMEN",1998,7,30,"1998-07-30","WGS84","477075"
"Erigeron canadensis",-111.661,33.1794,"cdc,gass84,colmafu,inmafu","US","PRESENT",700,"ASU","2270644336","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=725864","PRESERVED_SPECIMEN",1998,7,26,"1998-07-26","WGS84",NA
"Erigeron canadensis",-102.543921,37.636193,"ambcol","US","PRESENT",873,"KU","176918167",NA,"PRESERVED_SPECIMEN",1998,8,9,"1998-08-09","WGS84","320610"
"Erigeron canadensis",-94.647166,37.181324,"ambcol","US","PRESENT",476,"KU","176918287",NA,"PRESERVED_SPECIMEN",1998,8,29,"1998-08-29","WGS84","322139"
"Erigeron canadensis",-116.18333,31.91667,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",90,"FC-UABC","2629880017",NA,"PRESERVED_SPECIMEN",1998,8,11,"1998-08-11","WGS84","10486"
"Erigeron canadensis",-92.339224,44.51999,"cdc,ambcol","US","PRESENT",800,"MIN","2265445627","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=189707","PRESERVED_SPECIMEN",1998,8,19,"1998-08-19","WGS84","432010"
"Erigeron canadensis",-90.155494,48.100104,"cdc,ambcol","US","PRESENT",800,"MIN","2265459289","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=2036","PRESERVED_SPECIMEN",1998,8,17,"1998-08-17","WGS84","507840"
"Erigeron canadensis",-105.458001,39.776647,"cdc,gass84,inmafu","US","PRESENT",1000,"DBG","2242374566","https://intermountainbiota.org/portal/collections/individual/index.php?occid=3048310","PRESERVED_SPECIMEN",1998,8,23,"1998-08-23","WGS84","KHD00007932"
"Erigeron canadensis",-104.304,32.449,"cdc,colmafu,inmafu","US","PRESENT",285,"UNM","1843838390","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4048321","PRESERVED_SPECIMEN",1998,8,21,"1998-08-21","WGS84","UNM0009462"
"Erigeron canadensis",-117.9404,43.8007,"cdc,inmano","US","PRESENT",6,"VALE","4074153447",NA,"PRESERVED_SPECIMEN",1998,8,19,"1998-08-19","WGS84","527"
"Erigeron canadensis",-115.622,31.0981,"cdc,elmms,gass84,typstativ,osiic,ambinst","MX","PRESENT",80,"UCR","2629905881",NA,"PRESERVED_SPECIMEN",1998,8,11,"1998-08-11","WGS84","105890"
"Erigeron canadensis",-116.183333,31.916667,"cdc,cdround,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",90,"CIBNOR","2629869810",NA,"PRESERVED_SPECIMEN",1998,8,12,"1998-08-12","WGS84","12604"
"Erigeron canadensis",-98.74283,38.510198,"ambcol","US","PRESENT",548,"KU","176918347",NA,"PRESERVED_SPECIMEN",1998,9,22,"1998-09-22","WGS84","324813"
"Erigeron canadensis",-110.31373,31.44551,"cdc,colmafu,inmafu","US","PRESENT",100,"ASU","2270643224","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=726325","PRESERVED_SPECIMEN",1998,9,12,"1998-09-12","WGS84",NA
"Erigeron canadensis",-108.2425,30.373611,"cdc,cdround,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895382229",NA,"PRESERVED_SPECIMEN",1998,9,25,"1998-09-25","WGS84","00306436"
"Erigeron canadensis",-98.573889,20.665278,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",80,"UACh","1419228854",NA,"PRESERVED_SPECIMEN",1998,10,25,"1998-10-25","WGS84","47825"
"Erigeron canadensis",-96.767,17.183,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3307995316",NA,"PRESERVED_SPECIMEN",1998,11,28,"1998-11-28","WGS84","1052364"
"Erigeron canadensis",-96.30167,16.26833,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",100,"IBUNAM","3308637124",NA,"PRESERVED_SPECIMEN",1997,2,11,"1997-02-11","WGS84","1048440"
"Erigeron canadensis",-96.30028,16.30167,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",100,"IBUNAM","3308622924",NA,"PRESERVED_SPECIMEN",1997,2,11,"1997-02-11","WGS84","1048441"
"Erigeron canadensis",-98.893333,21.185833,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FC-UNAM","1894705527",NA,"PRESERVED_SPECIMEN",1997,5,29,"1997-05-29","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-96.324755,44.013519,"cdc,ambcol","US","PRESENT",747,"MIN","2265519860","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=7245","PRESERVED_SPECIMEN",1997,6,28,"1997-06-28","WGS84","436463"
"Erigeron canadensis",-91.617,18.083,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3308085336",NA,"PRESERVED_SPECIMEN",1997,6,19,"1997-06-19","WGS84","1279680"
"Erigeron canadensis",-103.778072,37.820105,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573329609","https://botanydb.colorado.edu/collections/individual/index.php?occid=107332","PRESERVED_SPECIMEN",1997,7,25,"1997-07-25","WGS84","00247437"
"Erigeron canadensis",-89.30889,18.81139,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308547376",NA,"PRESERVED_SPECIMEN",1997,7,2,"1997-07-02","WGS84","832059"
"Erigeron canadensis",-109.03889,28.3825,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",60,"IBUNAM","3308092663",NA,"PRESERVED_SPECIMEN",1997,7,14,"1997-07-14","WGS84","1242706"
"Erigeron canadensis",-98.112981,39.454946,"ambcol","US","PRESENT",328,"KU","176918157",NA,"PRESERVED_SPECIMEN",1997,8,18,"1997-08-18","WGS84","315123"
"Erigeron canadensis",-99.528543,39.391475,"ambcol","US","PRESENT",371,"KU","176918163",NA,"PRESERVED_SPECIMEN",1997,8,20,"1997-08-20","WGS84","315339"
"Erigeron canadensis",-97.71151,39.119208,"ambcol","US","PRESENT",210,"KU","176918368",NA,"PRESERVED_SPECIMEN",1997,8,18,"1997-08-18","WGS84","315054"
"Erigeron canadensis",-113.14583,36.358712,"cdc,inmafu","US","PRESENT",10,"ASC","3091273024","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1023521","PRESERVED_SPECIMEN",1997,8,14,"1997-08-14","WGS84","ASC00065226"
"Erigeron canadensis",-95.368095,45.347311,"cdc,ambcol","US","PRESENT",800,"MIN","2265355433","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=10764","PRESERVED_SPECIMEN",1997,8,7,"1997-08-07","WGS84","461928"
"Erigeron canadensis",-89.39444,17.98972,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",90,"IBUNAM","3307922694",NA,"PRESERVED_SPECIMEN",1997,8,5,"1997-08-05","WGS84","838610"
"Erigeron canadensis",-90.459508,48.069998,"cdc,ambcol","US","PRESENT",800,"MIN","2265511069","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65449","PRESERVED_SPECIMEN",1997,8,13,"1997-08-13","WGS84","519308"
"Erigeron canadensis",-123.93131,46.11929,"cdc,ambinst","US","PRESENT",805,"OSU","3820534872","https://oregonflora.org/collections/individual/index.php?occid=980450","PRESERVED_SPECIMEN",1997,8,19,"1997-08-19","WGS84",NA
"Erigeron canadensis",-108.53079,31.918066,"cdc,colmafu,inmafu","US","PRESENT",198,"UTEP","3413519035","http://arctos.database.museum/guid/UTEP:Herb:56372","PRESERVED_SPECIMEN",1997,8,31,"1997-08-31","WGS84","UTEP:Herb:56372"
"Erigeron canadensis",-102.515465,38.693339,"cdc,cdround,ambinst","US","PRESENT",100,"COLO","2573329424","https://botanydb.colorado.edu/collections/individual/index.php?occid=107204","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84","00203133"
"Erigeron canadensis",-102.787385,37.329977,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573330780","https://botanydb.colorado.edu/collections/individual/index.php?occid=107302","PRESERVED_SPECIMEN",1997,9,12,"1997-09-12","WGS84","00245290"
"Erigeron canadensis",-102.79205,37.33144,"cdc,ambinst","US","PRESENT",1000,"COLO","2573331025","https://botanydb.colorado.edu/collections/individual/index.php?occid=107751","PRESERVED_SPECIMEN",1997,9,12,"1997-09-12","WGS84","00714246"
"Erigeron canadensis",-109.375833,28.486389,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"DCBS-DICTUS-USON","1893589441",NA,"PRESERVED_SPECIMEN",1997,9,21,"1997-09-21","WGS84","05695"
"Erigeron canadensis",-105.836667,23.533333,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",70,"CNS-UT","1895382159",NA,"PRESERVED_SPECIMEN",1997,9,1,"1997-09-01","WGS84","00191174"
"Erigeron canadensis",-98.895,21.15,"cdc,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FC-UNAM","1894705529",NA,"PRESERVED_SPECIMEN",1997,9,19,"1997-09-19","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-89.6075,18.52944,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3307922620",NA,"PRESERVED_SPECIMEN",1997,10,28,"1997-10-28","WGS84","836986"
"Erigeron canadensis",-98.671944,20.961944,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FC-UNAM","1894705523",NA,"PRESERVED_SPECIMEN",1997,10,26,"1997-10-26","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-106.340636,28.346961,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",60,"CNS-UT","1895382269",NA,"PRESERVED_SPECIMEN",1997,10,22,"1997-10-22","WGS84","00085980"
"Erigeron canadensis",-89.355,18.77611,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3308583004",NA,"PRESERVED_SPECIMEN",1997,11,17,"1997-11-17","WGS84","954870"
"Erigeron canadensis",-98.464167,19.078611,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"FCB-BUAP","1895955655",NA,"PRESERVED_SPECIMEN",1996,2,NA,"1996-02","WGS84","3366"
"Erigeron canadensis",-101.609444,19.515833,"cdc,cdround,elmms,gass84,typstativ,osiic,inmano","MX","PRESENT",90,"INECOL","1893688696",NA,"PRESERVED_SPECIMEN",1996,4,28,"1996-04-28","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-115.408333,30.925,"cdc,cdround,elmms,gass84,typstativ,osiic,incomis,inmafu,diffown","MX","PRESENT",80,"SDNHM","1893338622",NA,"PRESERVED_SPECIMEN",1996,6,27,"1996-06-27","WGS84","139350"
"Erigeron canadensis",-118.230725,48.738421,"cdc,incomis,inmafu","US","PRESENT",835,"ID","4073894762",NA,"PRESERVED_SPECIMEN",1996,8,13,"1996-08-13","WGS84","113445"
"Erigeron canadensis",-109.026667,28.36,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",60,"IE-UNAM","1895818799",NA,"PRESERVED_SPECIMEN",1996,9,6,"1996-09-06","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-93.41162,44.898931,"cdc,ambcol","US","PRESENT",800,"MIN","2265510475","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65376","PRESERVED_SPECIMEN",1996,9,4,"1996-09-04","WGS84","466667"
"Erigeron canadensis",-93.66415,45.465306,"cdc,ambcol","US","PRESENT",800,"MIN","2265511538","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65451","PRESERVED_SPECIMEN",1996,9,5,"1996-09-05","WGS84","519408"
"Erigeron canadensis",-108.933333,28.373611,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",60,"IE-UNAM","1895818810",NA,"PRESERVED_SPECIMEN",1996,9,5,"1996-09-05","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-109.04833,28.37167,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",60,"IBUNAM","3307898298",NA,"PRESERVED_SPECIMEN",1996,9,8,"1996-09-08","WGS84","827753"
"Erigeron canadensis",-109.02667,28.36,"cdc,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",60,"IBUNAM","3307913932",NA,"PRESERVED_SPECIMEN",1996,9,6,"1996-09-06","WGS84","827774"
"Erigeron canadensis",-100.963026,38.919762,"ambcol","US","PRESENT",969,"KU","176918304",NA,"PRESERVED_SPECIMEN",1996,10,8,"1996-10-08","WGS84","312170"
"Erigeron canadensis",-99.844038,39.350266,"ambcol","US","PRESENT",304,"KU","176918335",NA,"PRESERVED_SPECIMEN",1996,10,9,"1996-10-09","WGS84","312297"
"Erigeron canadensis",-116.9149,33.3935,"cdc,inmafu","US","PRESENT",402,"RSA","2430407584","https://cch2.org/portal/collections/individual/index.php?occid=909962","PRESERVED_SPECIMEN",1996,11,12,"1996-11-12","WGS84",NA
"Erigeron canadensis",-103.601424,40.916049,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573327594","https://botanydb.colorado.edu/collections/individual/index.php?occid=105416","PRESERVED_SPECIMEN",1995,7,11,"1995-07-11","WGS84","00062133"
"Erigeron canadensis",-108.543333,30.775,"cdc,cdround,elmms,gass84,typstativ","MX","PRESENT",60,"NO DISPONIBLE","1893529464",NA,"HUMAN_OBSERVATION",1995,7,10,"1995-07-10","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-98.205008,39.270101,"ambcol","US","PRESENT",909,"KU","176918374",NA,"PRESERVED_SPECIMEN",1995,8,26,"1995-08-26","WGS84","330735"
"Erigeron canadensis",-97.012993,39.219474,"ambcol","US","PRESENT",205,"KU","176918280",NA,"PRESERVED_SPECIMEN",1995,8,15,"1995-08-15","WGS84","113111"
"Erigeron canadensis",-97.657211,39.590123,"ambcol","US","PRESENT",283,"KU","176918343",NA,"PRESERVED_SPECIMEN",1995,8,17,"1995-08-17","WGS84","114034"
"Erigeron canadensis",-98.149122,39.208477,"ambcol","US","PRESENT",564,"KU","176918322",NA,"PRESERVED_SPECIMEN",1995,8,27,"1995-08-27","WGS84","330839"
"Erigeron canadensis",-105.197401,39.906816,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573330115","https://botanydb.colorado.edu/collections/individual/index.php?occid=107612","PRESERVED_SPECIMEN",1995,8,22,"1995-08-22","WGS84","00541748"
"Erigeron canadensis",-78.2,40.633333,"cdc,colmafu,inmafu","US","PRESENT",50,"CM","2859041185","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11846909","PRESERVED_SPECIMEN",1995,8,5,"1995-08-05","WGS84","CM398602"
"Erigeron canadensis",-96.493071,47.898302,"cdc,ambcol","US","PRESENT",800,"MIN","2265511819","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65377","PRESERVED_SPECIMEN",1995,8,16,"1995-08-16","WGS84","466668"
"Erigeron canadensis",-92.23979,44.302288,"cdc,ambcol","US","PRESENT",800,"MIN","2265512232","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65445","PRESERVED_SPECIMEN",1995,8,31,"1995-08-31","WGS84","466679"
"Erigeron canadensis",-92.199704,44.287627,"cdc,ambcol","US","PRESENT",800,"MIN","2265512501","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65446","PRESERVED_SPECIMEN",1995,8,31,"1995-08-31","WGS84","466784"
"Erigeron canadensis",-95.710493,47.18676,"cdc,ambcol","US","PRESENT",800,"MIN","2265510209","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65452","PRESERVED_SPECIMEN",1995,8,30,"1995-08-30","WGS84","519572"
"Erigeron canadensis",-95.432738,38.931395,"ambcol","US","PRESENT",561,"KU","176918281",NA,"PRESERVED_SPECIMEN",1995,9,10,"1995-09-10","WGS84","114552"
"Erigeron canadensis",-121.96301,44.17023,"cdc,cdround,ambinst","US","PRESENT",201,"OSU","3820573875","https://oregonflora.org/collections/individual/index.php?occid=1073679","PRESERVED_SPECIMEN",1995,9,10,"1995-09-10","WGS84",NA
"Erigeron canadensis",-107.711467,36.807188,"cdc,colmafu,inmafu","US","PRESENT",570,"UNM","1843819320","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4029067","PRESERVED_SPECIMEN",1995,9,11,"1995-09-11","WGS84","UNM0009480"
"Erigeron canadensis",-91.343423,43.767669,"cdc,ambcol","US","PRESENT",800,"MIN","2265509901","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65378","PRESERVED_SPECIMEN",1995,9,6,"1995-09-06","WGS84","466786"
"Erigeron canadensis",-97.190651,33.101245,"cdc,inmafu","US","PRESENT",181,"BRIT","4101855934","https://sernecportal.org/portal/collections/individual/index.php?occid=8862012","PRESERVED_SPECIMEN",1995,9,23,"1995-09-23","WGS84","NLU0086948"
"Erigeron canadensis",-95.209551,38.960697,"ambcol","US","PRESENT",559,"KU","240489847",NA,"PRESERVED_SPECIMEN",1995,10,6,"1995-10-06","WGS84","312738"
"Erigeron canadensis",-95.432223,39.070765,"ambcol","US","PRESENT",586,"KU","176918334",NA,"PRESERVED_SPECIMEN",1995,10,12,"1995-10-12","WGS84","113884"
"Erigeron canadensis",-113.579179,37.101377,"cdc,ambinst","US","PRESENT",100,"COLO","2573354479","https://botanydb.colorado.edu/collections/individual/index.php?occid=136719","PRESERVED_SPECIMEN",1995,10,31,"1995-10-31","WGS84","01251354"
"Erigeron canadensis",-89.153886,31.120321,"cdc,inmafu","US","PRESENT",969,"USMS","4088571104","https://sernecportal.org/portal/collections/individual/index.php?occid=6021240","PRESERVED_SPECIMEN",1995,10,26,"1995-10-26","WGS84","USMS_000006888"
"Erigeron canadensis",-98.759722,20.749444,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",80,"FC-UNAM","1895677151",NA,"PRESERVED_SPECIMEN",1995,10,17,"1995-10-17","WGS84","055516"
"Erigeron canadensis",-104.930556,21.406944,"cdc,cdround,gass84,typstativ,osiic,incomis,inmafu","MX","PRESENT",80,"IBUNAM","3307826008",NA,"PRESERVED_SPECIMEN",1994,5,17,"1994-05-17","WGS84","606924"
"Erigeron canadensis",-99.158333,23.141667,"cdc,cdround,elmms,gass84,typstativ,inmano","MX","PRESENT",70,"IEA-UAT","1894239997",NA,"PRESERVED_SPECIMEN",1994,5,25,"1994-05-25","WGS84","NO DISPONIBLE"
"Erigeron canadensis",-94.021389,49.438889,"cdc,colmafu,inmafu","CA","PRESENT",500,"CM","2859048182","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11846513","PRESERVED_SPECIMEN",1994,7,21,"1994-07-21","WGS84","CM391317"
"Erigeron canadensis",-92.519043,43.536578,"cdc,ambcol","US","PRESENT",800,"MIN","2265508716","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65373","PRESERVED_SPECIMEN",1994,7,18,"1994-07-18","WGS84","445321"
"Erigeron canadensis",-92.538986,43.536572,"cdc,ambcol","US","PRESENT",800,"MIN","2265507924","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=65374","PRESERVED_SPECIMEN",1994,7,18,"1994-07-18","WGS84","445403"
"Erigeron canadensis",-83.89053,45.06683,"","US","PRESENT",969,"MICH","1989469295",NA,"PRESERVED_SPECIMEN",1994,7,30,"1994-07-30","WGS84","1253314"
"Erigeron canadensis",-95.182796,37.255804,"ambcol","US","PRESENT",459,"KU","176918330",NA,"PRESERVED_SPECIMEN",1994,8,29,"1994-08-29","WGS84","111522"
"Erigeron canadensis",-94.789112,38.422076,"ambcol","US","PRESENT",868,"KU","176918282",NA,"PRESERVED_SPECIMEN",1994,8,3,"1994-08-03","WGS84","115146"
"Erigeron canadensis",-87.85434,46.71683,"","US","PRESENT",969,"MICH","1988775724",NA,"PRESERVED_SPECIMEN",1994,8,21,"1994-08-21","WGS84","1253341"
