"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Aristida purpurea",-103.227816,38.407542,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573443163","https://botanydb.colorado.edu/collections/individual/index.php?occid=30100","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84",NA,"00473215"
"Aristida purpurea",-97.290726,32.839429,"cdc,incomis,inmafu","US",NA,"PRESENT",762,"BRIT","4102162466","https://sernecportal.org/portal/collections/individual/index.php?occid=16758493","PRESERVED_SPECIMEN",2000,6,22,"2000-06-22","WGS84",NA,"BRIT258143"
"Aristida purpurea",-103.115918,39.029954,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573444855","https://botanydb.colorado.edu/collections/individual/index.php?occid=30105","PRESERVED_SPECIMEN",2000,6,27,"2000-06-27","WGS84",NA,"00473264"
"Aristida purpurea",-102.663659,38.692961,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573442817","https://botanydb.colorado.edu/collections/individual/index.php?occid=30106","PRESERVED_SPECIMEN",2000,6,28,"2000-06-28","WGS84",NA,"00473272"
"Aristida purpurea",-105.293333,40.886667,"cdc,ambinst","US",NA,"PRESENT",100,"COLO","2573445432","https://botanydb.colorado.edu/collections/individual/index.php?occid=32527","PRESERVED_SPECIMEN",2000,7,31,"2000-07-31","WGS84",NA,"00986059"
"Aristida purpurea",-110.127,31.5177,"cdc,gass84,colmafu,inmafu","US",NA,"PRESENT",700,"ASU","2270590866","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=660813","PRESERVED_SPECIMEN",2000,8,20,"2000-08-20","WGS84",NA,"ASU0062884"
"Aristida purpurea",-104.580191,32.0981,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",100,"UNM","1843882240","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4091913","PRESERVED_SPECIMEN",2000,10,5,"2000-10-05","WGS84",NA,"UNM0096739"
"Aristida purpurea",-97.833333,30.24185,"gass84,incomis,inmafu","US",NA,"PRESENT",160,"PRC","2807194687",NA,"PRESERVED_SPECIMEN",1999,6,3,"1999-06-03","WGS84",NA,"00434289"
"Aristida purpurea",-103.874661,40.417863,"cdc,cdround,ambinst","US",NA,"PRESENT",500,"COLO","2573441294","https://botanydb.colorado.edu/collections/individual/index.php?occid=30118","PRESERVED_SPECIMEN",1999,6,13,"1999-06-13","WGS84",NA,"00473397"
"Aristida purpurea",-104.014675,44.558904,"cdc,inmafu","US",NA,"PRESENT",612,"BHSC","2632244508","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123889","PRESERVED_SPECIMEN",1999,7,15,"1999-07-15","WGS84",NA,"BHSC0032903"
"Aristida purpurea",-104.98678,37.77,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573448071","https://botanydb.colorado.edu/collections/individual/index.php?occid=32454","PRESERVED_SPECIMEN",1999,8,16,"1999-08-16","WGS84",NA,"00963397"
"Aristida purpurea",-103.886531,44.500388,"cdc,inmafu","US",NA,"PRESENT",312,"BHSC","2632244501","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123876","PRESERVED_SPECIMEN",1999,9,12,"1999-09-12","WGS84",NA,"BHSC0025823"
"Aristida purpurea",-103.835758,44.492762,"cdc,inmafu","US",NA,"PRESENT",706,"BHSC","2632244499","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123877","PRESERVED_SPECIMEN",1999,9,15,"1999-09-15","WGS84",NA,"BHSC0026733"
"Aristida purpurea",-103.70244,44.474936,"cdc,inmafu","US",NA,"PRESENT",790,"BHSC","2632244513","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123880","PRESERVED_SPECIMEN",1999,9,11,"1999-09-11","WGS84",NA,"BHSC0026819"
"Aristida purpurea",-104.021458,44.467366,"cdc,inmafu","US",NA,"PRESENT",969,"BHSC","2632244512","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123881","PRESERVED_SPECIMEN",1999,9,14,"1999-09-14","WGS84",NA,"BHSC0026939"
"Aristida purpurea",-102.168717,43.987247,"cdc,inmafu","US",NA,"PRESENT",969,"BHSC","2632244500","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123879","PRESERVED_SPECIMEN",1999,10,2,"1999-10-02","WGS84",NA,"BHSC0026738"
"Aristida purpurea",-111.94,33.42,"cdc,gass84,colmafu,inmafu","US",NA,"PRESENT",200,"ASU","2270636662","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=716048","PRESERVED_SPECIMEN",1998,3,6,"1998-03-06","WGS84",NA,"ASU0062881"
"Aristida purpurea",-97.26894,32.873841,"cdc,incomis,inmafu","US",NA,"PRESENT",313,"BRIT","4102172000","https://sernecportal.org/portal/collections/individual/index.php?occid=16770712","PRESERVED_SPECIMEN",1998,4,30,"1998-04-30","WGS84",NA,"BRIT258145"
"Aristida purpurea",-111.661,33.1647,"cdc,gass84,colmafu,inmafu","US",NA,"PRESENT",700,"ASU","2270661034","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=747893","PRESERVED_SPECIMEN",1998,4,9,"1998-04-09","WGS84",NA,"ASU0063025"
"Aristida purpurea",-110.184,32.9251,"cdc,gass84,colmafu,inmafu","US",NA,"PRESENT",700,"ASU","2270585079","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=652975","PRESERVED_SPECIMEN",1998,5,19,"1998-05-19","WGS84",NA,"ASU0062848"
"Aristida purpurea",-110.304,32.8962,"cdc,gass84,colmafu,inmafu","US",NA,"PRESENT",700,"ASU","2270585154","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=653038","PRESERVED_SPECIMEN",1998,5,23,"1998-05-23","WGS84",NA,"ASU0062891"
"Aristida purpurea",-102.928057,38.052681,"cdc,ambinst","US",NA,"PRESENT",500,"COLO","2573444067","https://botanydb.colorado.edu/collections/individual/index.php?occid=30134","PRESERVED_SPECIMEN",1998,6,7,"1998-06-07","WGS84",NA,"00475632"
"Aristida purpurea",-107.72459,38.29884,"cdc,ambinst","US",NA,"PRESENT",1000,"COLO","2573443277","https://botanydb.colorado.edu/collections/individual/index.php?occid=32187","PRESERVED_SPECIMEN",1998,6,7,"1998-06-07","WGS84",NA,"00895102"
"Aristida purpurea",-104.98856,38.21091,"cdc,ambinst","US",NA,"PRESENT",250,"COLO","2573444012","https://botanydb.colorado.edu/collections/individual/index.php?occid=32399","PRESERVED_SPECIMEN",1998,6,13,"1998-06-13","WGS84",NA,"00943787"
"Aristida purpurea",-104.689344,32.246318,"cdc,cdround,ambinst","US",NA,"PRESENT",250,"COLO","2573394895","https://botanydb.colorado.edu/collections/individual/index.php?occid=190714","PRESERVED_SPECIMEN",1998,9,7,"1998-09-07","WGS84",NA,"01427517"
"Aristida purpurea",-97.327018,32.756388,"cdc,incomis,inmafu","US",NA,"PRESENT",142,"BRIT","4102175779","https://sernecportal.org/portal/collections/individual/index.php?occid=16769005","PRESERVED_SPECIMEN",1998,10,25,"1998-10-25","WGS84",NA,"BRIT258144"
"Aristida purpurea",-105.597317,44.293819,"cdc,inmafu","US",NA,"PRESENT",236,"BHSC","2632244920","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25109601","PRESERVED_SPECIMEN",1997,7,17,"1997-07-17","WGS84",NA,"BHSC0020837"
"Aristida purpurea",-103.283186,43.87357,"cdc,inmafu","US",NA,"PRESENT",450,"BHSC","2632244482","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123856","PRESERVED_SPECIMEN",1997,9,7,"1997-09-07","WGS84",NA,"BHSC0020807"
"Aristida purpurea",-108.53079,31.918066,"cdc,colmafu,inmafu","US",NA,"PRESENT",198,"UTEP","3413532002","http://arctos.database.museum/guid/UTEP:Herb:56285","PRESERVED_SPECIMEN",1997,9,27,"1997-09-27","WGS84",NA,"UTEP:Herb:56285"
"Aristida purpurea",-103.993772,44.566781,"cdc,inmafu","US",NA,"PRESENT",163,"BHSC","2632244490","https://ngpherbaria.org/portal/collections/individual/index.php?occid=25123867","PRESERVED_SPECIMEN",1997,10,2,"1997-10-02","WGS84",NA,"BHSC0021836"
"Aristida purpurea",-107.865,32.34,"cdc,colmafu,inmafu","US",NA,"PRESENT",285,"UNM","1843820718","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4030557","PRESERVED_SPECIMEN",1997,10,7,"1997-10-07","WGS84",NA,"UNM0096757"
"Aristida purpurea",-114.773096,36.703906,"cdc,colmafu,inmafu","US",NA,"PRESENT",696,"RENO","4404976634","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4342640","PRESERVED_SPECIMEN",1997,11,29,"1997-11-29","WGS84",NA,"27468"
"Aristida purpurea",-103.342715,40.872517,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573443308","https://botanydb.colorado.edu/collections/individual/index.php?occid=30135","PRESERVED_SPECIMEN",1996,7,26,"1996-07-26","WGS84",NA,"00475640"
"Aristida purpurea",-104.7972,31.9111,"cdc,colmafu,inmafu,diffown","US",NA,"PRESENT",310,"UNM","1843830269","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4040051","PRESERVED_SPECIMEN",1996,7,22,"1996-07-22","WGS84",NA,"UNM0096217"
"Aristida purpurea",-108.032696,32.85015,"cdc,colmafu,inmafu","US",NA,"PRESENT",324,"UTEP","3413525450","http://arctos.database.museum/guid/UTEP:Herb:54066","PRESERVED_SPECIMEN",1996,8,31,"1996-08-31","WGS84",NA,"UTEP:Herb:54066"
"Aristida purpurea",-99.754783,34.108059,"cdc,inmafu","US",NA,"PRESENT",522,"TTC","3340054370","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16584652","PRESERVED_SPECIMEN",1996,10,12,"1996-10-12","WGS84",NA,"TTC001925"
"Aristida purpurea",-109.045247,37.305619,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573443080","https://botanydb.colorado.edu/collections/individual/index.php?occid=30158","PRESERVED_SPECIMEN",1995,5,27,"1995-05-27","WGS84",NA,"00475871"
"Aristida purpurea",-108.67361,38.98056,"cdc,inmafu","US",NA,"PRESENT",301,"MESA","3783626862","https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3346731","PRESERVED_SPECIMEN",1995,5,13,"1995-05-13","WGS84",NA,"MESA00346"
"Aristida purpurea",-106.773038,32.285997,"cdc,cdround,colmafu,inmafu","US",NA,"PRESENT",30,"UNM","1842917590","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4002211","PRESERVED_SPECIMEN",1995,5,5,"1995-05-05","WGS84",NA,"UNM0096729"
"Aristida purpurea",-104.992402,38.453977,"cdc,cdround,ambinst","US",NA,"PRESENT",1000,"COLO","2573444137","https://botanydb.colorado.edu/collections/individual/index.php?occid=30098","PRESERVED_SPECIMEN",1995,6,28,"1995-06-28","WGS84",NA,"00473199"
