"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Erigeron strigosus",-95.5053,36.6429,"cdc,inmafu","US","PRESENT",100,"BRIT","3969696332","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25201316","PRESERVED_SPECIMEN",2000,5,31,"2000-05-31","WGS84","BRIT544153"
"Erigeron strigosus",-93.234418,45.392004,"cdc,cdround,gass84,ambcol","US","PRESENT",800,"MIN","2265529364","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81529","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","441860"
"Erigeron strigosus",-65.713056,45.837222,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859336727","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858157","PRESERVED_SPECIMEN",2000,7,9,"2000-07-09","WGS84","CM496965"
"Erigeron strigosus",-75.795756,40.185166,"cdc,inmafu","US","PRESENT",502,"MOAR","4064829708","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=13354107","PRESERVED_SPECIMEN",2000,8,28,"2000-08-28","WGS84","MOAR0002840"
"Erigeron strigosus",-99.723056,30.452516,"gass84,incomis,inmafu","US","PRESENT",287,"PRC","2807564727",NA,"PRESERVED_SPECIMEN",1999,4,21,"1999-04-21","WGS84","00048281"
"Erigeron strigosus",-93.242547,33.576109,"ambcol","US","PRESENT",817,"KU","176943135",NA,"PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84","328453"
"Erigeron strigosus",-89.883165,33.919346,"cdc,ambinst","US","PRESENT",969,"MISS","3925848411","https://sernecportal.org/portal/collections/individual/index.php?occid=5928915","PRESERVED_SPECIMEN",1999,5,25,"1999-05-25","WGS84","MISS0063178"
"Erigeron strigosus",-92.339224,44.51999,"cdc,ambcol","US","PRESENT",800,"MIN","2265438683","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=18225","PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84","498971"
"Erigeron strigosus",-83.4833,32.6167,"cdc,gass84,incomis","US","PRESENT",301,"FTG","122941583",NA,"PRESERVED_SPECIMEN",1999,6,5,"1999-06-05","WGS84","134587"
"Erigeron strigosus",-90.464435,48.099916,"cdc,ambcol","US","PRESENT",800,"MIN","2265442845","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=186397","PRESERVED_SPECIMEN",1999,6,28,"1999-06-28","WGS84","491448"
"Erigeron strigosus",-92.041576,43.10745,"cdc,inmafu","US","PRESENT",197,"CLEMS","3344491838","https://sernecportal.org/portal/collections/individual/index.php?occid=20958046","PRESERVED_SPECIMEN",1999,6,29,"1999-06-29","WGS84","CLEMS0074110"
"Erigeron strigosus",-81.183241,36.418057,"cdc,gass84,inmafu","US","PRESENT",728,"WCUH","2273377170","https://sernecportal.org/portal/collections/individual/index.php?occid=17733127","PRESERVED_SPECIMEN",1999,7,8,"1999-07-08","WGS84","WCUH0002882"
"Erigeron strigosus",-94.272334,45.919137,"cdc,ambcol","US","PRESENT",800,"MIN","2265530621","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81383","PRESERVED_SPECIMEN",1999,7,14,"1999-07-14","WGS84","434915"
"Erigeron strigosus",-90.803753,48.084497,"cdc,ambcol","US","PRESENT",800,"MIN","2265373196","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=12276","PRESERVED_SPECIMEN",1999,8,13,"1999-08-13","WGS84","431291"
"Erigeron strigosus",-93.858886,44.941724,"cdc,ambcol","US","PRESENT",800,"MIN","2265569173","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=8910","PRESERVED_SPECIMEN",1999,8,17,"1999-08-17","WGS84","480818"
"Erigeron strigosus",-99.134335,39.447947,"ambcol","US","PRESENT",554,"KU","176942635",NA,"PRESERVED_SPECIMEN",1998,5,29,"1998-05-29","WGS84","319879"
"Erigeron strigosus",-93.612653,44.725535,"cdc,ambcol","US","PRESENT",800,"MIN","2265435497","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=179893","PRESERVED_SPECIMEN",1998,6,22,"1998-06-22","WGS84","479855"
"Erigeron strigosus",-93.939379,44.362618,"cdc,ambcol","US","PRESENT",800,"MIN","2265444394","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=187578","PRESERVED_SPECIMEN",1998,6,16,"1998-06-16","WGS84","477855"
"Erigeron strigosus",-93.111203,44.334371,"cdc,ambcol","US","PRESENT",800,"MIN","2265428234","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=173506","PRESERVED_SPECIMEN",1998,7,20,"1998-07-20","WGS84","499169"
"Erigeron strigosus",-93.055944,44.984772,"cdc,ambcol","US","PRESENT",800,"MIN","2265505191","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=6146","PRESERVED_SPECIMEN",1998,7,24,"1998-07-24","WGS84","489601"
"Erigeron strigosus",-90.241744,48.04129,"cdc,ambcol","US","PRESENT",800,"MIN","2265435225","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=180255","PRESERVED_SPECIMEN",1998,8,26,"1998-08-26","WGS84","507838"
"Erigeron strigosus",-93.592079,44.855973,"cdc,ambcol","US","PRESENT",969,"MIN","2265524680","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=77","PRESERVED_SPECIMEN",1998,8,5,"1998-08-05","WGS84","438772"
"Erigeron strigosus",-79.93027,39.786812,"cdc,colmafu,inmafu","US","PRESENT",850,"CM","2859343690","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857387","PRESERVED_SPECIMEN",1997,5,29,"1997-05-29","WGS84","CM487634"
"Erigeron strigosus",-95.265664,38.181554,"ambcol","US","PRESENT",450,"KU","176942703",NA,"PRESERVED_SPECIMEN",1997,6,7,"1997-06-07","WGS84","317072"
"Erigeron strigosus",-95.997622,39.083998,"ambcol","US","PRESENT",600,"KU","176943110",NA,"PRESERVED_SPECIMEN",1997,6,18,"1997-06-18","WGS84","313318"
"Erigeron strigosus",-92.435385,42.744013,"ambcol","US","PRESENT",113,"KU","176943239",NA,"PRESERVED_SPECIMEN",1997,6,14,"1997-06-14","WGS84","311855"
"Erigeron strigosus",-95.481952,45.129975,"cdc,ambcol","US","PRESENT",800,"MIN","2265426710","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=171455","PRESERVED_SPECIMEN",1997,6,30,"1997-06-30","WGS84","511048"
"Erigeron strigosus",-93.705614,45.49421,"cdc,ambcol","US","PRESENT",800,"MIN","2265528616","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81398","PRESERVED_SPECIMEN",1997,6,26,"1997-06-26","WGS84","458542"
"Erigeron strigosus",-94.978778,39.257884,"ambcol","US","PRESENT",380,"KU","176943313",NA,"PRESERVED_SPECIMEN",1997,7,13,"1997-07-13","WGS84","312549"
"Erigeron strigosus",-94.715206,44.449166,"cdc,ambcol","US","PRESENT",800,"MIN","2265427000","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=172566","PRESERVED_SPECIMEN",1997,7,15,"1997-07-15","WGS84","426807"
"Erigeron strigosus",-95.244129,47.260648,"cdc,ambcol","US","PRESENT",800,"MIN","2265528816","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=80886","PRESERVED_SPECIMEN",1997,7,14,"1997-07-14","WGS84","429722"
"Erigeron strigosus",-120.934722,39.418889,"cdc,ambinst","US","PRESENT",402,"CHSC","2417988804","https://cch2.org/portal/collections/individual/index.php?occid=2074046","PRESERVED_SPECIMEN",1997,8,19,"1997-08-19","WGS84","CHSC069175"
"Erigeron strigosus",-105.268625,36.787837,"cdc,colmafu,inmafu","US","PRESENT",1000,"UNM","1843905277","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4115106","PRESERVED_SPECIMEN",1997,8,27,"1997-08-27","WGS84","UNM0012064"
"Erigeron strigosus",-94.895945,44.506793,"cdc,ambcol","US","PRESENT",800,"MIN","2265460578","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=20753","PRESERVED_SPECIMEN",1997,9,6,"1997-09-06","WGS84","511212"
"Erigeron strigosus",-95.947693,44.348727,"cdc,ambcol","US","PRESENT",800,"MIN","2265528558","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81378","PRESERVED_SPECIMEN",1996,6,30,"1996-06-30","WGS84","426835"
"Erigeron strigosus",-78.338889,39.730833,"cdc,colmafu,inmafu","US","PRESENT",150,"CM","2859050720","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11857673","PRESERVED_SPECIMEN",1996,7,9,"1996-07-09","WGS84","CM490341"
"Erigeron strigosus",-113.9677003,46.8837951,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073772160",NA,"PRESERVED_SPECIMEN",1996,8,1,"1996-08-01","WGS84","119137"
"Erigeron strigosus",-105.185659,40.557792,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573485553","https://botanydb.colorado.edu/collections/individual/index.php?occid=95816","PRESERVED_SPECIMEN",1996,9,21,"1996-09-21","WGS84","00191221"
"Erigeron strigosus",-84.14575,33.806217,"cdc,gass84,inmafu","US","PRESENT",966,"GA","3709842920","https://sernecportal.org/portal/collections/individual/index.php?occid=13759940","PRESERVED_SPECIMEN",1995,4,26,"1995-04-26","WGS84","GA075999"
"Erigeron strigosus",-98.200373,39.26638,"ambcol","US","PRESENT",901,"KU","176943436",NA,"PRESERVED_SPECIMEN",1995,6,23,"1995-06-23","WGS84","329530"
"Erigeron strigosus",-93.409031,44.724586,"cdc,ambcol","US","PRESENT",800,"MIN","2265529511","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81381","PRESERVED_SPECIMEN",1995,6,17,"1995-06-17","WGS84","430122"
"Erigeron strigosus",-73.23694,41.47611,"cdc,gass84,inmano","US","PRESENT",3,"UConn","415962391",NA,"PRESERVED_SPECIMEN",1995,6,8,"1995-06-08","WGS84","CONN00086758"
"Erigeron strigosus",-97.055832,39.301825,"ambcol","US","PRESENT",288,"KU","176943388",NA,"PRESERVED_SPECIMEN",1995,7,13,"1995-07-13","WGS84","113594"
"Erigeron strigosus",-71.0472,48.3655,"colmafu,inmafu,diffown","CA","PRESENT",50,"Université de Montréal Biodiversity Centre","473414446",NA,"PRESERVED_SPECIMEN",1995,7,23,"1995-07-23","WGS84","MT00164809"
"Erigeron strigosus",-95.430935,38.933264,"cdc,inmafu","US","PRESENT",336,"CLEMS","3344491846","https://sernecportal.org/portal/collections/individual/index.php?occid=20958044","PRESERVED_SPECIMEN",1995,7,9,"1995-07-09","WGS84","CLEMS0074111"
"Erigeron strigosus",-93.17745,46.845996,"cdc,ambcol","US","PRESENT",800,"MIN","2265528384","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81510","PRESERVED_SPECIMEN",1995,7,27,"1995-07-27","WGS84","839340"
"Erigeron strigosus",-96.53224,44.511526,"ambcol","US","PRESENT",291,"KU","3127511330",NA,"PRESERVED_SPECIMEN",1995,7,18,"1995-07-18","WGS84","317099"
"Erigeron strigosus",-78.304647,45.590548,"cdc,colmafu,inmafu","CA","PRESENT",770,"CM","2859053754","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11858313","PRESERVED_SPECIMEN",1995,8,23,"1995-08-23","WGS84","CM500283"
"Erigeron strigosus",-92.468703,44.05788,"cdc,ambcol","US","PRESENT",800,"MIN","2265529434","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=81391","PRESERVED_SPECIMEN",1995,9,14,"1995-09-14","WGS84","443411"
"Erigeron strigosus",-117.31889,33.97083,"cdc,inmafu","US","PRESENT",1000,"RSA","2430247222","https://cch2.org/portal/collections/individual/index.php?occid=1188450","PRESERVED_SPECIMEN",1994,3,25,"1994-03-25","WGS84",NA
"Erigeron strigosus",-95.687794,38.590665,"ambcol","US","PRESENT",540,"KU","176943089",NA,"PRESERVED_SPECIMEN",1994,6,16,"1994-06-16","WGS84","110909"
"Erigeron strigosus",-95.182796,37.255804,"ambcol","US","PRESENT",459,"KU","176943090",NA,"PRESERVED_SPECIMEN",1994,6,21,"1994-06-21","WGS84","111278"
"Erigeron strigosus",-95.128231,31.803244,"cdc,inmafu","US","PRESENT",301,"BAYLU","4433550716","https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=31525379","PRESERVED_SPECIMEN",1994,6,6,"1994-06-06","WGS84","BAYLU063549"
