"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Hypericum perforatum",-88.942751,41.316469,"cdc,inmafu","US","PRESENT",969,"VT","3970637360","https://nansh.org/portal/collections/individual/index.php?occid=28479332","PRESERVED_SPECIMEN",2000,6,20,"2000-06-20","WGS84","UVMVT298616"
"Hypericum perforatum",-79.297624,41.846967,"cdc,colmafu,inmafu","US","PRESENT",100,"CM","2859122316","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010898","PRESERVED_SPECIMEN",2000,7,26,"2000-07-26","WGS84","CM495259"
"Hypericum perforatum",-69.339444,44.732778,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859122324","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011022","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM496605"
"Hypericum perforatum",-69.343611,44.750833,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859368306","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011026","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM496647"
"Hypericum perforatum",-70.585833,43.478333,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859365308","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011060","PRESERVED_SPECIMEN",2000,7,14,"2000-07-14","WGS84","CM497095"
"Hypericum perforatum",-67.358611,46.959444,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859122329","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011103","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497547"
"Hypericum perforatum",-67.548056,46.3875,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859364312","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011106","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497580"
"Hypericum perforatum",-67.718889,46.701667,"cdc,colmafu,inmafu","CA","PRESENT",100,"CM","2859368311","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011107","PRESERVED_SPECIMEN",2000,7,8,"2000-07-08","WGS84","CM497604"
"Hypericum perforatum",-72.106944,42.066667,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859120341","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011114","PRESERVED_SPECIMEN",2000,7,15,"2000-07-15","WGS84","CM497724"
"Hypericum perforatum",-79.0258,48.2822,"colmafu,inmafu,diffown","CA","PRESENT",800,"Université de Montréal Biodiversity Centre","473367621",NA,"PRESERVED_SPECIMEN",2000,7,16,"2000-07-16","WGS84","MT00014799"
"Hypericum perforatum",-75.79329,40.187313,"cdc,inmafu","US","PRESENT",504,"MOAR","4064831218","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16523437","PRESERVED_SPECIMEN",2000,7,17,"2000-07-17","WGS84","MOAR0011177"
"Hypericum perforatum",-121.796944,45.689722,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859393297","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011111","PRESERVED_SPECIMEN",2000,8,5,"2000-08-05","WGS84","CM497634"
"Hypericum perforatum",-122.298889,45.571667,"cdc,cdround,colmafu,inmafu","US","PRESENT",100,"CM","2859122330","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12011121","PRESERVED_SPECIMEN",2000,8,5,"2000-08-05","WGS84","CM497821"
"Hypericum perforatum",-121.093599,35.574599,"cdc,inmafu","US","PRESENT",116,"OBI","2270195066","https://cch2.org/portal/collections/individual/index.php?occid=187842","PRESERVED_SPECIMEN",2000,8,2,"2000-08-02","WGS84","OBI107186"
"Hypericum perforatum",-117.1522718,45.955873,"cdc,cdrep,incomis,inmafu","US","PRESENT",800,"ID","4073762651",NA,"PRESERVED_SPECIMEN",1999,5,26,"1999-05-26","WGS84","123520"
"Hypericum perforatum",-115.487182,46.770608,"cdc,cdround","US","PRESENT",8,"iNaturalist","1805413603","https://www.inaturalist.org/observations/9513114","HUMAN_OBSERVATION",1999,6,22,"1999-06-22","WGS84","9513114"
"Hypericum perforatum",-95.995413,45.752126,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265475913","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=3407","PRESERVED_SPECIMEN",1999,7,29,"1999-07-29","WGS84","497755"
"Hypericum perforatum",-73.39222,41.06583,"cdc,gass84,inmano","US","PRESENT",1,"UConn","415991667",NA,"PRESERVED_SPECIMEN",1999,7,2,"1999-07-02","WGS84","CONN00116306"
"Hypericum perforatum",-90.306846,48.055437,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265391865","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=14113","PRESERVED_SPECIMEN",1999,8,3,"1999-08-03","WGS84","432620"
"Hypericum perforatum",-79.67861,40.22083,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859393221","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009600","PRESERVED_SPECIMEN",1998,7,17,"1998-07-17","WGS84","CM480297"
"Hypericum perforatum",-79.62667,40.29167,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859356243","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009667","PRESERVED_SPECIMEN",1998,7,17,"1998-07-17","WGS84","CM481131"
"Hypericum perforatum",-90.740698,48.070286,"cdc,gass84,ambcol","US","PRESENT",969,"MIN","2265432974","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=176452","PRESERVED_SPECIMEN",1998,7,22,"1998-07-22","WGS84","510472"
"Hypericum perforatum",-93.705276,45.465538,"cdc,ambcol","US","PRESENT",969,"MIN","2265594444","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=95681","PRESERVED_SPECIMEN",1998,7,6,"1998-07-06","WGS84","436388"
"Hypericum perforatum",-117.53461,47.45504,"cdc,colmafu,inmafu","US","PRESENT",600,"EWU","4070146544",NA,"PRESERVED_SPECIMEN",1998,7,2,"1998-07-02","WGS84","10468"
"Hypericum perforatum",-94.656082,38.834438,"ambcol","US","PRESENT",281,"KU","176962186",NA,"PRESERVED_SPECIMEN",1997,6,27,"1997-06-27","WGS84","312505"
"Hypericum perforatum",-95.265664,38.181554,"ambcol","US","PRESENT",450,"KU","176961945",NA,"PRESERVED_SPECIMEN",1997,6,7,"1997-06-07","WGS84","317080"
"Hypericum perforatum",-122.706944,39.185,"cdc,ambinst","US","PRESENT",402,"CHSC","2418012180","https://cch2.org/portal/collections/individual/index.php?occid=2107545","PRESERVED_SPECIMEN",1997,6,30,"1997-06-30","WGS84","CHSC091024"
"Hypericum perforatum",-123.26598,44.7145,"cdc,ambinst","US","PRESENT",805,"OSU","3820636881","https://oregonflora.org/collections/individual/index.php?occid=980458","PRESERVED_SPECIMEN",1997,6,30,"1997-06-30","WGS84",NA
"Hypericum perforatum",-95.274719,38.181119,"ambcol","US","PRESENT",477,"KU","176961420",NA,"PRESERVED_SPECIMEN",1997,7,5,"1997-07-05","WGS84","315647"
"Hypericum perforatum",-123.93145,46.13496,"cdc,ambinst","US","PRESENT",805,"OSU","3820559332","https://oregonflora.org/collections/individual/index.php?occid=1037544","PRESERVED_SPECIMEN",1997,7,15,"1997-07-15","WGS84",NA
"Hypericum perforatum",-79.16139,40.16167,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859355237","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009451","PRESERVED_SPECIMEN",1997,7,11,"1997-07-11","WGS84","CM478144"
"Hypericum perforatum",-78.07361,40.53389,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859114280","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010047","PRESERVED_SPECIMEN",1997,8,7,"1997-08-07","WGS84","CM485822"
"Hypericum perforatum",-122.50582,38.10902,"cdc,inmafu","US","PRESENT",500,"CDA","3059684391","https://cch2.org/portal/collections/individual/index.php?occid=4105926","PRESERVED_SPECIMEN",1996,3,21,"1996-03-21","WGS84","CDA-0014390"
"Hypericum perforatum",-80.18139,42.05722,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859357231","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12009436","PRESERVED_SPECIMEN",1996,6,27,"1996-06-27","WGS84","CM477981"
"Hypericum perforatum",-122.182222,40.276111,"cdc,ambinst","US","PRESENT",402,"CHSC","2418013019","https://cch2.org/portal/collections/individual/index.php?occid=2108440","PRESERVED_SPECIMEN",1996,6,3,"1996-06-03","WGS84","CHSC066196"
"Hypericum perforatum",-95.944003,44.346395,"cdc,gass84,ambcol","US","PRESENT",442,"MIN","2265593257","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=95689","PRESERVED_SPECIMEN",1996,6,30,"1996-06-30","WGS84","516078"
"Hypericum perforatum",-77.96972,40.76222,"cdc,colmafu,inmafu","US","PRESENT",14,"CM","2859392266","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12010355","PRESERVED_SPECIMEN",1996,7,9,"1996-07-09","WGS84","CM489280"
