"species","decimalLongitude","decimalLatitude","issues","countryCode","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","catalogNumber"
"Hilaria jamesii",-103.507,38.7163,"ambcol","US","PRESENT",922,"KU","177005636",NA,"PRESERVED_SPECIMEN",2000,5,22,"2000-05-22","WGS84","335918"
"Hilaria jamesii",-103.32222,38.36333,"cdc,ambinst","US","PRESENT",1000,"COLO","2573451795","https://botanydb.colorado.edu/collections/individual/index.php?occid=36021","PRESERVED_SPECIMEN",2000,5,17,"2000-05-17","WGS84","00667618"
"Hilaria jamesii",-103.227816,38.407542,"cdc,cdround,ambinst","US","PRESENT",1000,"COLO","2573452565","https://botanydb.colorado.edu/collections/individual/index.php?occid=36091","PRESERVED_SPECIMEN",2000,5,21,"2000-05-21","WGS84","00719559"
"Hilaria jamesii",-103.50728,38.71233,"cdc,ambinst","US","PRESENT",805,"COLO","2573451473","https://botanydb.colorado.edu/collections/individual/index.php?occid=36092","PRESERVED_SPECIMEN",2000,5,22,"2000-05-22","WGS84","00719567"
"Hilaria jamesii",-103.50611,38.715,"cdc,ambinst","US","PRESENT",250,"COLO","2573450617","https://botanydb.colorado.edu/collections/individual/index.php?occid=35947","PRESERVED_SPECIMEN",2000,6,25,"2000-06-25","WGS84","00609909"
"Hilaria jamesii",-102.99972,38.82306,"cdc,ambinst","US","PRESENT",250,"COLO","2573451089","https://botanydb.colorado.edu/collections/individual/index.php?occid=35935","PRESERVED_SPECIMEN",2000,8,19,"2000-08-19","WGS84","00609487"
"Hilaria jamesii",-103.70472,38.65167,"cdc,ambinst","US","PRESENT",250,"COLO","2573451777","https://botanydb.colorado.edu/collections/individual/index.php?occid=36001","PRESERVED_SPECIMEN",2000,8,23,"2000-08-23","WGS84","00654905"
"Hilaria jamesii",-109.6,39.891667,"cdc,ambinst","US","PRESENT",100,"COLO","2573401585","https://botanydb.colorado.edu/collections/individual/index.php?occid=195976","PRESERVED_SPECIMEN",1999,5,29,"1999-05-29","WGS84","01482769"
"Hilaria jamesii",-104.55734,38.29269,"cdc,ambinst","US","PRESENT",250,"COLO","2573453982","https://botanydb.colorado.edu/collections/individual/index.php?occid=36564","PRESERVED_SPECIMEN",1999,5,27,"1999-05-27","WGS84","00962035"
"Hilaria jamesii",-106.462942,35.299213,"cdc,cdround,inmafu","US","PRESENT",285,"ASC","3091193311","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21726223","PRESERVED_SPECIMEN",1999,6,10,"1999-06-10","WGS84","ASC00081944"
"Hilaria jamesii",-107.00637,34.25378,"cdc,gass84,colmafu,inmafu","US","PRESENT",208,"UNM","1843828258","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4038807","PRESERVED_SPECIMEN",1999,7,21,"1999-07-21","WGS84","UNM0118014"
"Hilaria jamesii",-106.885,34.358333,"cdc,gass84,colmafu,inmafu","US","PRESENT",200,"UNM","1843829007","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039031","PRESERVED_SPECIMEN",1999,8,26,"1999-08-26","WGS84","UNM0102466"
"Hilaria jamesii",-106.885,34.358,"cdc,gass84,colmafu,inmafu","US","PRESENT",200,"UNM","1843828789","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4039048","PRESERVED_SPECIMEN",1999,9,28,"1999-09-28","WGS84","UNM0102467"
"Hilaria jamesii",-104.68915,38.12406,"cdc,ambinst","US","PRESENT",500,"COLO","2573456510","https://botanydb.colorado.edu/collections/individual/index.php?occid=36532","PRESERVED_SPECIMEN",1998,5,23,"1998-05-23","WGS84","00944819"
"Hilaria jamesii",-102.928552,38.081977,"cdc,cdround,ambinst","US","PRESENT",500,"COLO","2573453666","https://botanydb.colorado.edu/collections/individual/index.php?occid=36090","PRESERVED_SPECIMEN",1998,6,7,"1998-06-07","WGS84","00719542"
"Hilaria jamesii",-114.4052,37.5296,"cdc,colmafu,inmafu","US","PRESENT",969,"RENO","4404945491","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4584983","PRESERVED_SPECIMEN",1998,6,20,"1998-06-20","WGS84","29655"
"Hilaria jamesii",-119.068998,39.244251,"cdc,colmafu,inmafu","US","PRESENT",400,"RENO","4404950737","https://intermountainbiota.org/portal/collections/individual/index.php?occid=4585029","PRESERVED_SPECIMEN",1998,6,8,"1998-06-08","WGS84","29691"
